,top,left,right,top props,left props,right props
0,1,5,8,"['prime', 'square']","['prime', '5 mult']",['2 mult']
1,1,4,3,"['prime', 'square']","['2 mult', 'square']","['prime', '3 mult']"
2,1,5,3,"['prime', 'square']","['prime', '5 mult']","['prime', '3 mult']"
3,1,9,12,"['prime', 'square']","['3 mult', 'square']","['2 mult', '3 mult']"
4,2,9,8,['2 mult'],"['3 mult', 'square']",['2 mult']
5,2,8,6,['2 mult'],['2 mult'],"['2 mult', '3 mult']"
6,2,4,10,['2 mult'],"['2 mult', 'square']","['2 mult', '5 mult']"
7,2,11,12,['2 mult'],['prime'],"['2 mult', '3 mult']"
8,3,4,7,"['prime', '3 mult']","['2 mult', 'square']",['prime']
9,3,4,7,"['prime', '3 mult']","['2 mult', 'square']",['prime']
10,3,7,4,"['prime', '3 mult']",['prime'],"['2 mult', 'square']"
11,3,6,8,"['prime', '3 mult']","['2 mult', '3 mult']",['2 mult']
12,4,12,7,"['2 mult', 'square']","['2 mult', '3 mult']",['prime']
13,4,2,11,"['2 mult', 'square']",['2 mult'],['prime']
14,4,3,8,"['2 mult', 'square']","['prime', '3 mult']",['2 mult']
15,4,9,2,"['2 mult', 'square']","['3 mult', 'square']",['2 mult']
16,5,12,4,"['prime', '5 mult']","['2 mult', '3 mult']","['2 mult', 'square']"
17,5,8,10,"['prime', '5 mult']",['2 mult'],"['2 mult', '5 mult']"
18,5,4,9,"['prime', '5 mult']","['2 mult', 'square']","['3 mult', 'square']"
19,5,3,7,"['prime', '5 mult']","['prime', '3 mult']",['prime']
20,6,1,12,"['2 mult', '3 mult']","['prime', 'square']","['2 mult', '3 mult']"
21,6,8,3,"['2 mult', '3 mult']",['2 mult'],"['prime', '3 mult']"
22,6,2,12,"['2 mult', '3 mult']",['2 mult'],"['2 mult', '3 mult']"
23,6,4,9,"['2 mult', '3 mult']","['2 mult', 'square']","['3 mult', 'square']"
24,7,3,8,['prime'],"['prime', '3 mult']",['2 mult']
25,7,8,9,['prime'],['2 mult'],"['3 mult', 'square']"
26,7,11,8,['prime'],['prime'],['2 mult']
27,7,2,1,['prime'],['2 mult'],"['prime', 'square']"
28,8,10,2,['2 mult'],"['2 mult', '5 mult']",['2 mult']
29,8,1,9,['2 mult'],"['prime', 'square']","['3 mult', 'square']"
30,8,2,9,['2 mult'],['2 mult'],"['3 mult', 'square']"
31,8,10,6,['2 mult'],"['2 mult', '5 mult']","['2 mult', '3 mult']"
32,9,7,1,"['3 mult', 'square']",['prime'],"['prime', 'square']"
33,9,12,3,"['3 mult', 'square']","['2 mult', '3 mult']","['prime', '3 mult']"
34,9,12,2,"['3 mult', 'square']","['2 mult', '3 mult']",['2 mult']
35,9,11,1,"['3 mult', 'square']",['prime'],"['prime', 'square']"
36,10,3,11,"['2 mult', '5 mult']","['prime', '3 mult']",['prime']
37,10,7,2,"['2 mult', '5 mult']",['prime'],['2 mult']
38,10,8,12,"['2 mult', '5 mult']",['2 mult'],"['2 mult', '3 mult']"
39,10,8,7,"['2 mult', '5 mult']",['2 mult'],['prime']
40,11,1,8,['prime'],"['prime', 'square']",['2 mult']
41,11,3,2,['prime'],"['prime', '3 mult']",['2 mult']
42,11,7,6,['prime'],['prime'],"['2 mult', '3 mult']"
43,11,12,2,['prime'],"['2 mult', '3 mult']",['2 mult']
44,12,2,8,"['2 mult', '3 mult']",['2 mult'],['2 mult']
45,12,1,2,"['2 mult', '3 mult']","['prime', 'square']",['2 mult']
46,12,6,1,"['2 mult', '3 mult']","['2 mult', '3 mult']","['prime', 'square']"
47,12,3,1,"['2 mult', '3 mult']","['prime', '3 mult']","['prime', 'square']"
