,top,left,right,top props,left props,right props
0,1,3,6,"['prime', 'square']","['prime', '3 mult']","['2 mult', '3 mult']"
1,1,3,5,"['prime', 'square']","['prime', '3 mult']","['prime', '5 mult']"
2,1,2,8,"['prime', 'square']",['2 mult'],['2 mult']
3,1,6,12,"['prime', 'square']","['2 mult', '3 mult']","['2 mult', '3 mult']"
4,2,5,7,['2 mult'],"['prime', '5 mult']",['prime']
5,2,10,11,['2 mult'],"['2 mult', '5 mult']",['prime']
6,2,9,1,['2 mult'],"['3 mult', 'square']","['prime', 'square']"
7,2,10,8,['2 mult'],"['2 mult', '5 mult']",['2 mult']
8,3,8,12,"['prime', '3 mult']",['2 mult'],"['2 mult', '3 mult']"
9,3,11,4,"['prime', '3 mult']",['prime'],"['2 mult', 'square']"
10,3,7,5,"['prime', '3 mult']",['prime'],"['prime', '5 mult']"
11,3,10,6,"['prime', '3 mult']","['2 mult', '5 mult']","['2 mult', '3 mult']"
12,4,8,1,"['2 mult', 'square']",['2 mult'],"['prime', 'square']"
13,4,3,9,"['2 mult', 'square']","['prime', '3 mult']","['3 mult', 'square']"
14,4,7,12,"['2 mult', 'square']",['prime'],"['2 mult', '3 mult']"
15,4,7,6,"['2 mult', 'square']",['prime'],"['2 mult', '3 mult']"
16,5,2,10,"['prime', '5 mult']",['2 mult'],"['2 mult', '5 mult']"
17,5,11,4,"['prime', '5 mult']",['prime'],"['2 mult', 'square']"
18,5,2,1,"['prime', '5 mult']",['2 mult'],"['prime', 'square']"
19,5,9,12,"['prime', '5 mult']","['3 mult', 'square']","['2 mult', '3 mult']"
20,6,8,10,"['2 mult', '3 mult']",['2 mult'],"['2 mult', '5 mult']"
21,6,5,9,"['2 mult', '3 mult']","['prime', '5 mult']","['3 mult', 'square']"
22,6,3,7,"['2 mult', '3 mult']","['prime', '3 mult']",['prime']
23,6,9,11,"['2 mult', '3 mult']","['3 mult', 'square']",['prime']
24,7,10,9,['prime'],"['2 mult', '5 mult']","['3 mult', 'square']"
25,7,5,9,['prime'],"['prime', '5 mult']","['3 mult', 'square']"
26,7,12,11,['prime'],"['2 mult', '3 mult']",['prime']
27,7,5,9,['prime'],"['prime', '5 mult']","['3 mult', 'square']"
28,8,3,5,['2 mult'],"['prime', '3 mult']","['prime', '5 mult']"
29,8,2,5,['2 mult'],['2 mult'],"['prime', '5 mult']"
30,8,9,4,['2 mult'],"['3 mult', 'square']","['2 mult', 'square']"
31,8,7,2,['2 mult'],['prime'],['2 mult']
32,9,4,3,"['3 mult', 'square']","['2 mult', 'square']","['prime', '3 mult']"
33,9,4,2,"['3 mult', 'square']","['2 mult', 'square']",['2 mult']
34,9,5,1,"['3 mult', 'square']","['prime', '5 mult']","['prime', 'square']"
35,9,2,1,"['3 mult', 'square']",['2 mult'],"['prime', 'square']"
36,10,9,6,"['2 mult', '5 mult']","['3 mult', 'square']","['2 mult', '3 mult']"
37,10,1,4,"['2 mult', '5 mult']","['prime', 'square']","['2 mult', 'square']"
38,10,2,3,"['2 mult', '5 mult']",['2 mult'],"['prime', '3 mult']"
39,10,12,2,"['2 mult', '5 mult']","['2 mult', '3 mult']",['2 mult']
40,11,3,9,['prime'],"['prime', '3 mult']","['3 mult', 'square']"
41,11,5,2,['prime'],"['prime', '5 mult']",['2 mult']
42,11,12,2,['prime'],"['2 mult', '3 mult']",['2 mult']
43,11,9,8,['prime'],"['3 mult', 'square']",['2 mult']
44,12,11,10,"['2 mult', '3 mult']",['prime'],"['2 mult', '5 mult']"
45,12,9,1,"['2 mult', '3 mult']","['3 mult', 'square']","['prime', 'square']"
46,12,5,4,"['2 mult', '3 mult']","['prime', '5 mult']","['2 mult', 'square']"
47,12,3,10,"['2 mult', '3 mult']","['prime', '3 mult']","['2 mult', '5 mult']"
